Hospital-Standards-SE1-Governance of the Organisation-Those responsible for governance appoint the organisation's senior manager(s) or director(s).,,Hospital-Standards-SE1-Governance of the Organisation-1.1.1.6,6 Hospital-Standards-SE1-Governance of the Organisation-1.1.1.6,Those responsible for governance appoint the organisation's senior manager(s) or director(s).,Those responsible for governance appoint the organisation's senior manager(s) or director(s).,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE1-Governance of the Organisation-Those responsible for governance receive and act upon reports of the quality programme at least quarterly.,,Hospital-Standards-SE1-Governance of the Organisation-1.1.1.8,7 Hospital-Standards-SE1-Governance of the Organisation-1.1.1.8,Those responsible for governance receive and act upon reports of the quality programme at least quarterly.,Those responsible for governance receive and act upon reports of the quality programme at least quarterly.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE1-Governance of the Organisation-Those responsible for governance receive and act upon reports on risk management at least quarterly.,,Hospital-Standards-SE1-Governance of the Organisation-1.1.1.9,8 Hospital-Standards-SE1-Governance of the Organisation-1.1.1.9,Those responsible for governance receive and act upon reports on risk management at least quarterly.,Those responsible for governance receive and act upon reports on risk management at least quarterly.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE1-Governance of the Organisation-Those responsible for governance evaluate the performance of the organisation's senior manager at least annually.,,Hospital-Standards-SE1-Governance of the Organisation-1.1.1.10,9 Hospital-Standards-SE1-Governance of the Organisation-1.1.1.10,Those responsible for governance evaluate the performance of the organisation's senior manager at least annually.,Those responsible for governance evaluate the performance of the organisation's senior manager at least annually.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE1-Management of the Organisation-The senior manager manages the day-to-day operation of the organisation, including those responsibilities described in the position description.",,Hospital-Standards-SE1-Management of the Organisation-1.2.1.1,10 Hospital-Standards-SE1-Management of the Organisation-1.2.1.1,"The senior manager manages the day-to-day operation of the organisation, including those responsibilities described in the position description.","The senior manager manages the day-to-day operation of the organisation, including those responsibilities described in the position description.",TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE1-Management of the Organisation-The senior manager has the education and experience to match the requirements in the position description.,,Hospital-Standards-SE1-Management of the Organisation-1.2.1.2,11 Hospital-Standards-SE1-Management of the Organisation-1.2.1.2,The senior manager has the education and experience to match the requirements in the position description.,The senior manager has the education and experience to match the requirements in the position description.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE1-Management of the Organisation-The senior manager carries out approved policies for management functions.,,Hospital-Standards-SE1-Management of the Organisation-1.2.1.3,12 Hospital-Standards-SE1-Management of the Organisation-1.2.1.3,The senior manager carries out approved policies for management functions.,The senior manager carries out approved policies for management functions.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE1-Management of the Organisation-The senior manager assures compliance with applicable laws and regulations.,,Hospital-Standards-SE1-Management of the Organisation-1.2.1.4,13 Hospital-Standards-SE1-Management of the Organisation-1.2.1.4,The senior manager assures compliance with applicable laws and regulations.,The senior manager assures compliance with applicable laws and regulations.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE1-Management of the Organisation-The senior manager responds to any reports from inspecting and regulatory agencies.,,Hospital-Standards-SE1-Management of the Organisation-1.2.1.5,14 Hospital-Standards-SE1-Management of the Organisation-1.2.1.5,The senior manager responds to any reports from inspecting and regulatory agencies.,The senior manager responds to any reports from inspecting and regulatory agencies.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE1-Management of the Organisation-The senior manager facilitates communication and cooperation between the organisation's governance structure, management and the community.",,Hospital-Standards-SE1-Management of the Organisation-1.2.2.1,15 Hospital-Standards-SE1-Management of the Organisation-1.2.2.1,"The senior manager facilitates communication and cooperation between the organisation's governance structure, management and the community.","The senior manager facilitates communication and cooperation between the organisation's governance structure, management and the community.",TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE1-Management of the Organisation-The senior manager implements processes to manage and control human, financial and other resources.",,Hospital-Standards-SE1-Management of the Organisation-1.2.2.2,16 Hospital-Standards-SE1-Management of the Organisation-1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources.","The senior manager implements processes to manage and control human, financial and other resources.",TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE1-Management of the Organisation-The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services.",,Hospital-Standards-SE1-Management of the Organisation-1.2.2.3,,,,,,,,,,,,optionSet
Human Resource Management Support--,UID,code,shortName,Description,Form Name,domainType,Value type,Aggregation type,CatCombo,,,,Option set,optionSet
Hospital-Standards-SE2-Human Resource Management Support-A designated individual is responsible for providing support for the organisation's human resource strategy.,,Hospital-Standards-SE2-Human Resource Management Support-2.1.1.1,1 Hospital-Standards-SE2-Human Resource Management Support-2.1.1.1,A designated individual is responsible for providing support for the organisation's human resource strategy.,A designated individual is responsible for providing support for the organisation's human resource strategy.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Human Resource Management Support-The human resource manager is suitably qualified and experienced in human resource management.,,Hospital-Standards-SE2-Human Resource Management Support-2.1.1.2,2 Hospital-Standards-SE2-Human Resource Management Support-2.1.1.2,The human resource manager is suitably qualified and experienced in human resource management.,The human resource manager is suitably qualified and experienced in human resource management.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Human Resource Management Support-The human resource manager ensures that policies and procedures are available to guide the personnel and that they are implemented.,,Hospital-Standards-SE2-Human Resource Management Support-2.1.1.3,3 Hospital-Standards-SE2-Human Resource Management Support-2.1.1.3,The human resource manager ensures that policies and procedures are available to guide the personnel and that they are implemented.,The human resource manager ensures that policies and procedures are available to guide the personnel and that they are implemented.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Human Resource Management Support-The human resource manager uses information on staffing needs provided by clinical and managerial personnel to ensure adequate staff provision.,,Hospital-Standards-SE2-Human Resource Management Support-2.1.1.4,4 Hospital-Standards-SE2-Human Resource Management Support-2.1.1.4,The human resource manager uses information on staffing needs provided by clinical and managerial personnel to ensure adequate staff provision.,The human resource manager uses information on staffing needs provided by clinical and managerial personnel to ensure adequate staff provision.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Human Resource Management Support-Details of the organisation's absenteeism, sickness rates and staff turnover rates are recorded and analysed, to allow for informed decision making by the management of the organisation.",,Hospital-Standards-SE2-Human Resource Management Support-2.1.1.5,5 Hospital-Standards-SE2-Human Resource Management Support-2.1.1.5,"Details of the organisation's absenteeism, sickness rates and staff turnover rates are recorded and analysed, to allow for informed decision making by the management of the organisation.","Details of the organisation's absenteeism, sickness rates and staff turnover rates are recorded and analysed, to allow for informed decision making by the management of the organisation.",TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Human Resource Management Support-Details of the staff establishment (i.e. available posts, filled and vacant posts) are recorded and analysed to allow for informed decision making by the organisation's management.",,Hospital-Standards-SE2-Human Resource Management Support-2.1.1.6,6 Hospital-Standards-SE2-Human Resource Management Support-2.1.1.6,"Details of the staff establishment (i.e. available posts, filled and vacant posts) are recorded and analysed to allow for informed decision making by the organisation's management.","Details of the staff establishment (i.e. available posts, filled and vacant posts) are recorded and analysed to allow for informed decision making by the organisation's management.",TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Human Resource Management Support-Receptionists, telephonists, clerical support personnel and porters are allocated to wards and departments in accordance with their needs.",,Hospital-Standards-SE2-Human Resource Management Support-2.1.1.7,7 Hospital-Standards-SE2-Human Resource Management Support-2.1.1.7,"Receptionists, telephonists, clerical support personnel and porters are allocated to wards and departments in accordance with their needs.","Receptionists, telephonists, clerical support personnel and porters are allocated to wards and departments in accordance with their needs.",TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Records-A designated member of staff is responsible for the storage and retrieval of personnel records.,,Hospital-Standards-SE2-Personnel Records-2.1.2.1,8 Hospital-Standards-SE2-Personnel Records-2.1.2.1,A designated member of staff is responsible for the storage and retrieval of personnel records.,A designated member of staff is responsible for the storage and retrieval of personnel records.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Records-There is documented personnel information on each staff member.,,Hospital-Standards-SE2-Personnel Records-2.1.2.2,9 Hospital-Standards-SE2-Personnel Records-2.1.2.2,There is documented personnel information on each staff member.,There is documented personnel information on each staff member.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Records-Personnel files are standardised.,,Hospital-Standards-SE2-Personnel Records-2.1.2.3,10 Hospital-Standards-SE2-Personnel Records-2.1.2.3,Personnel files are standardised.,Personnel files are standardised.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Records-Personnel files are reviewed at least annually.,,Hospital-Standards-SE2-Personnel Records-2.1.2.4,11 Hospital-Standards-SE2-Personnel Records-2.1.2.4,Personnel files are reviewed at least annually.,Personnel files are reviewed at least annually.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Records-Personnel files contain employment contracts/job description.,,Hospital-Standards-SE2-Personnel Records-2.1.2.5,12 Hospital-Standards-SE2-Personnel Records-2.1.2.5,Personnel files contain employment contracts/job description.,Personnel files contain employment contracts/job description.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Records-Personnel files contain the qualifications of the staff member.,,Hospital-Standards-SE2-Personnel Records-2.1.2.6,13 Hospital-Standards-SE2-Personnel Records-2.1.2.6,Personnel files contain the qualifications of the staff member.,Personnel files contain the qualifications of the staff member.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Records-Personnel files contain the work history of the staff member.,,Hospital-Standards-SE2-Personnel Records-2.1.2.7,14 Hospital-Standards-SE2-Personnel Records-2.1.2.7,Personnel files contain the work history of the staff member.,Personnel files contain the work history of the staff member.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Records-Personnel files contain details of staff evaluations.,,Hospital-Standards-SE2-Personnel Records-2.1.2.8,15 Hospital-Standards-SE2-Personnel Records-2.1.2.8,Personnel files contain details of staff evaluations.,Personnel files contain details of staff evaluations.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Records-Personnel files contain a record of in-service education attended by the staff member.,,Hospital-Standards-SE2-Personnel Records-2.1.2.9,16 Hospital-Standards-SE2-Personnel Records-2.1.2.9,Personnel files contain a record of in-service education attended by the staff member.,Personnel files contain a record of in-service education attended by the staff member.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Records-Only authorised persons have access to personnel records.,,Hospital-Standards-SE2-Personnel Records-2.1.2.10,17 Hospital-Standards-SE2-Personnel Records-2.1.2.10,Only authorised persons have access to personnel records.,Only authorised persons have access to personnel records.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Staff Planning-There are documented processes for staffing the organisation.,,Hospital-Standards-SE2-Staff Planning-2.2.1.1,18 Hospital-Standards-SE2-Staff Planning-2.2.1.1,There are documented processes for staffing the organisation.,There are documented processes for staffing the organisation.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Staff Planning-The processes include personnel recruitment.,,Hospital-Standards-SE2-Staff Planning-2.2.1.2,19 Hospital-Standards-SE2-Staff Planning-2.2.1.2,The processes include personnel recruitment.,The processes include personnel recruitment.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Staff Planning-The processes include numbers and categories of personnel required.,,Hospital-Standards-SE2-Staff Planning-2.2.1.3,20 Hospital-Standards-SE2-Staff Planning-2.2.1.3,The processes include numbers and categories of personnel required.,The processes include numbers and categories of personnel required.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Staff Planning-The processes include desired education, qualifications, skills and knowledge of required personnel.",,Hospital-Standards-SE2-Staff Planning-2.2.1.4,21 Hospital-Standards-SE2-Staff Planning-2.2.1.4,"The processes include desired education, qualifications, skills and knowledge of required personnel.","The processes include desired education, qualifications, skills and knowledge of required personnel.",TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Staff Planning-The processes include assignment and reassignment of personnel.,,Hospital-Standards-SE2-Staff Planning-2.2.1.5,22 Hospital-Standards-SE2-Staff Planning-2.2.1.5,The processes include assignment and reassignment of personnel.,The processes include assignment and reassignment of personnel.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Staff Planning-The processes include staff retention.,,Hospital-Standards-SE2-Staff Planning-2.2.1.6,23 Hospital-Standards-SE2-Staff Planning-2.2.1.6,The processes include staff retention.,The processes include staff retention.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Staff Planning-The processes include personal development of the personnel.,,Hospital-Standards-SE2-Staff Planning-2.2.1.7,24 Hospital-Standards-SE2-Staff Planning-2.2.1.7,The processes include personal development of the personnel.,The processes include personal development of the personnel.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Personnel Management-Personnel employed by the organisation have written job descriptions and performance agreements, which define their responsibilities.",,Hospital-Standards-SE2-Personnel Management-2.3.1.1,25 Hospital-Standards-SE2-Personnel Management-2.3.1.1,"Personnel employed by the organisation have written job descriptions and performance agreements, which define their responsibilities.","Personnel employed by the organisation have written job descriptions and performance agreements, which define their responsibilities.",TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Management-Job descriptions and performance agreements are reviewed according to organisational policy.,,Hospital-Standards-SE2-Personnel Management-2.3.1.2,26 Hospital-Standards-SE2-Personnel Management-2.3.1.2,Job descriptions and performance agreements are reviewed according to organisational policy.,Job descriptions and performance agreements are reviewed according to organisational policy.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Management-Each staff member accepts their job description and performance agreement by signing it.,,Hospital-Standards-SE2-Personnel Management-2.3.1.3,27 Hospital-Standards-SE2-Personnel Management-2.3.1.3,Each staff member accepts their job description and performance agreement by signing it.,Each staff member accepts their job description and performance agreement by signing it.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Evaluation-Key performance areas for each staff member are identified in their job descriptions and performance agreements.,,Hospital-Standards-SE2-Personnel Evaluation-2.3.2.1,28 Hospital-Standards-SE2-Personnel Evaluation-2.3.2.1,Key performance areas for each staff member are identified in their job descriptions and performance agreements.,Key performance areas for each staff member are identified in their job descriptions and performance agreements.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Evaluation-There is at least one documented evaluation of each staff member each year or more frequently as defined by organisational policy.,,Hospital-Standards-SE2-Personnel Evaluation-2.3.2.2,29 Hospital-Standards-SE2-Personnel Evaluation-2.3.2.2,There is at least one documented evaluation of each staff member each year or more frequently as defined by organisational policy.,There is at least one documented evaluation of each staff member each year or more frequently as defined by organisational policy.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Personnel Evaluation-New staff members are evaluated as defined by organisational policy.,,Hospital-Standards-SE2-Personnel Evaluation-2.3.2.3,30 Hospital-Standards-SE2-Personnel Evaluation-2.3.2.3,New staff members are evaluated as defined by organisational policy.,New staff members are evaluated as defined by organisational policy.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Industrial Relations-Designated personnel are educated/trained in labour law legislation and related processes.,,Hospital-Standards-SE2-Industrial Relations-2.3.3.1,31 Hospital-Standards-SE2-Industrial Relations-2.3.3.1,Designated personnel are educated/trained in labour law legislation and related processes.,Designated personnel are educated/trained in labour law legislation and related processes.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Industrial Relations-There are mutually agreed processes for the satisfactory conduct of industrial relations activities, which meet the requirements of current legislation.",,Hospital-Standards-SE2-Industrial Relations-2.3.3.2,32 Hospital-Standards-SE2-Industrial Relations-2.3.3.2,"There are mutually agreed processes for the satisfactory conduct of industrial relations activities, which meet the requirements of current legislation.","There are mutually agreed processes for the satisfactory conduct of industrial relations activities, which meet the requirements of current legislation.",TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Industrial Relations-Disciplinary procedures are implemented.,,Hospital-Standards-SE2-Industrial Relations-2.3.3.3,33 Hospital-Standards-SE2-Industrial Relations-2.3.3.3,Disciplinary procedures are implemented.,Disciplinary procedures are implemented.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Industrial Relations-Grievance procedures are implemented.,,Hospital-Standards-SE2-Industrial Relations-2.3.3.4,34 Hospital-Standards-SE2-Industrial Relations-2.3.3.4,Grievance procedures are implemented.,Grievance procedures are implemented.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Industrial Relations-Dispute and appeal procedures are implemented.,,Hospital-Standards-SE2-Industrial Relations-2.3.3.5,35 Hospital-Standards-SE2-Industrial Relations-2.3.3.5,Dispute and appeal procedures are implemented.,Dispute and appeal procedures are implemented.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Industrial Relations-There are recognition agreements with trade unions and/or health professional organisations, where applicable.",,Hospital-Standards-SE2-Industrial Relations-2.3.3.6,36 Hospital-Standards-SE2-Industrial Relations-2.3.3.6,"There are recognition agreements with trade unions and/or health professional organisations, where applicable.","There are recognition agreements with trade unions and/or health professional organisations, where applicable.",TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Staff Orientation-There are documented programmes for staff orientation to the organisation.,,Hospital-Standards-SE2-Staff Orientation-2.4.1.1,37 Hospital-Standards-SE2-Staff Orientation-2.4.1.1,There are documented programmes for staff orientation to the organisation.,There are documented programmes for staff orientation to the organisation.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Staff Orientation-New staff members are orientated to the organisation within a time frame determined by organisational policy.,,Hospital-Standards-SE2-Staff Orientation-2.4.1.2,38 Hospital-Standards-SE2-Staff Orientation-2.4.1.2,New staff members are orientated to the organisation within a time frame determined by organisational policy.,New staff members are orientated to the organisation within a time frame determined by organisational policy.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Staff Orientation-Departmental and service managers implement orientation programmes for departmental and service personnel.,,Hospital-Standards-SE2-Staff Orientation-2.4.1.3,39 Hospital-Standards-SE2-Staff Orientation-2.4.1.3,Departmental and service managers implement orientation programmes for departmental and service personnel.,Departmental and service managers implement orientation programmes for departmental and service personnel.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Staff Orientation-Contract workers and/or volunteers are orientated to the organisation, their job responsibilities and their specific assignments.",,Hospital-Standards-SE2-Staff Orientation-2.4.1.4,40 Hospital-Standards-SE2-Staff Orientation-2.4.1.4,"Contract workers and/or volunteers are orientated to the organisation, their job responsibilities and their specific assignments.","Contract workers and/or volunteers are orientated to the organisation, their job responsibilities and their specific assignments.",TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-In-Service Training-The organisation has a coordinated plan for in-service training and development.,,Hospital-Standards-SE2-In-Service Training-2.4.2.1,41 Hospital-Standards-SE2-In-Service Training-2.4.2.1,The organisation has a coordinated plan for in-service training and development.,The organisation has a coordinated plan for in-service training and development.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-In-Service Training-Department and service managers have established in-service training and development programmes relevant to departmental and service personnel.,,Hospital-Standards-SE2-In-Service Training-2.4.2.2,42 Hospital-Standards-SE2-In-Service Training-2.4.2.2,Department and service managers have established in-service training and development programmes relevant to departmental and service personnel.,Department and service managers have established in-service training and development programmes relevant to departmental and service personnel.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-In-Service Training-The organisation uses various sources of data and information to identify the in-service training and development needs of the personnel.,,Hospital-Standards-SE2-In-Service Training-2.4.2.3,43 Hospital-Standards-SE2-In-Service Training-2.4.2.3,The organisation uses various sources of data and information to identify the in-service training and development needs of the personnel.,The organisation uses various sources of data and information to identify the in-service training and development needs of the personnel.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-In-Service Training-The organisation provides ongoing in-service training and development for its personnel.,,Hospital-Standards-SE2-In-Service Training-2.4.2.4,44 Hospital-Standards-SE2-In-Service Training-2.4.2.4,The organisation provides ongoing in-service training and development for its personnel.,The organisation provides ongoing in-service training and development for its personnel.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-In-Service Training-Staff competencies, where relevant, are assessed and recorded after in-service training and development.",,Hospital-Standards-SE2-In-Service Training-2.4.2.5,45 Hospital-Standards-SE2-In-Service Training-2.4.2.5,"Staff competencies, where relevant, are assessed and recorded after in-service training and development.","Staff competencies, where relevant, are assessed and recorded after in-service training and development.",TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Continuing Education-There is a continuing educational strategy developed by the management of the organisation for all professional personnel in the organisation to fulfil the requirements for continued registration with the relevant professional bodies.,,Hospital-Standards-SE2-Continuing Education-2.4.3.1,46 Hospital-Standards-SE2-Continuing Education-2.4.3.1,There is a continuing educational strategy developed by the management of the organisation for all professional personnel in the organisation to fulfil the requirements for continued registration with the relevant professional bodies.,There is a continuing educational strategy developed by the management of the organisation for all professional personnel in the organisation to fulfil the requirements for continued registration with the relevant professional bodies.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Continuing Education-There is a development strategy for the organisation to ensure that managers receive the training required to fulfil their responsibilities.,,Hospital-Standards-SE2-Continuing Education-2.4.3.2,47 Hospital-Standards-SE2-Continuing Education-2.4.3.2,There is a development strategy for the organisation to ensure that managers receive the training required to fulfil their responsibilities.,There is a development strategy for the organisation to ensure that managers receive the training required to fulfil their responsibilities.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Continuing Education-The personnel are informed of opportunities to participate in advanced education, training, research and other experiences.",,Hospital-Standards-SE2-Continuing Education-2.4.3.3,48 Hospital-Standards-SE2-Continuing Education-2.4.3.3,"The personnel are informed of opportunities to participate in advanced education, training, research and other experiences.","The personnel are informed of opportunities to participate in advanced education, training, research and other experiences.",TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Continuing Education-The organisation supports staff participation in such opportunities.,,Hospital-Standards-SE2-Continuing Education-2.4.3.4,49 Hospital-Standards-SE2-Continuing Education-2.4.3.4,The organisation supports staff participation in such opportunities.,The organisation supports staff participation in such opportunities.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Continuing Education-The organisation supports the need for relevant postgraduate qualifications.,,Hospital-Standards-SE2-Continuing Education-2.4.3.5,50 Hospital-Standards-SE2-Continuing Education-2.4.3.5,The organisation supports the need for relevant postgraduate qualifications.,The organisation supports the need for relevant postgraduate qualifications.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Credentialing of Staff Members-Those permitted by law, regulation and the organisation to provide patient care without supervision are identified.",,Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.1,51 Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.1,"Those permitted by law, regulation and the organisation to provide patient care without supervision are identified.","Those permitted by law, regulation and the organisation to provide patient care without supervision are identified.",TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Credentialing of Staff Members-The registration, education, training and experience of these individuals are documented.",,Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.2,52 Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.2,"The registration, education, training and experience of these individuals are documented.","The registration, education, training and experience of these individuals are documented.",TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Credentialing of Staff Members-Such information is verified from the original sources.,,Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.3,53 Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.3,Such information is verified from the original sources.,Such information is verified from the original sources.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Credentialing of Staff Members-The personnel record contains copies of any required registration certificate(s).,,Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.4,54 Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.4,The personnel record contains copies of any required registration certificate(s).,The personnel record contains copies of any required registration certificate(s).,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE2-Credentialing of Staff Members-There is a process to review the personnel records annually.,,Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.5,55 Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.5,There is a process to review the personnel records annually.,There is a process to review the personnel records annually.,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE2-Credentialing of Staff Members-The organisation has a process to ensure that nurses and other professionals who are not employees of the organisation, but provide services to the organisation's patients, have valid credentials.",,Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.6,56 Hospital-Standards-SE2-Credentialing of Staff Members-2.5.1.6,"The organisation has a process to ensure that nurses and other professionals who are not employees of the organisation, but provide services to the organisation's patients, have valid credentials.","The organisation has a process to ensure that nurses and other professionals who are not employees of the organisation, but provide services to the organisation's patients, have valid credentials.",TRACKER,TEXT,COUNT,,,,,,optionSet
Financial Management Support--,UID,code,shortName,Description,Form Name,domainType,Value type,Aggregation type,CatCombo,,,,Option set,optionSet
Hospital-Standards-SE3-Financial Management Support-A designated financial manager is responsible for the implementation and maintenance of the financial strategy.,,Hospital-Standards-SE3-Financial Management Support-3.1.1.1,1 Hospital-Standards-SE3-Financial Management Support-3.1.1.1,A designated financial manager is responsible for the implementation and maintenance of the financial strategy.,A designated financial manager is responsible for the implementation and maintenance of the financial strategy.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE3-Financial Management Support-The financial manager ensures that policies and procedures are available to guide the staff and that they are implemented.,,Hospital-Standards-SE3-Financial Management Support-3.1.1.2,2 Hospital-Standards-SE3-Financial Management Support-3.1.1.2,The financial manager ensures that policies and procedures are available to guide the staff and that they are implemented.,The financial manager ensures that policies and procedures are available to guide the staff and that they are implemented.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE3-Financial Management Support-There is a mechanism for allowing the personnel to participate in the development and management of budgets (e.g. cost centres).,,Hospital-Standards-SE3-Financial Management Support-3.1.1.3,3 Hospital-Standards-SE3-Financial Management Support-3.1.1.3,There is a mechanism for allowing the personnel to participate in the development and management of budgets (e.g. cost centres).,There is a mechanism for allowing the personnel to participate in the development and management of budgets (e.g. cost centres).,TRACKER,TEXT,COUNT,,,,,,optionSet
"Hospital-Standards-SE3-Financial Management Support-A monthly report is produced for the organisation's management, setting out the financial position to date.",,Hospital-Standards-SE3-Financial Management Support-3.1.1.4,4 Hospital-Standards-SE3-Financial Management Support-3.1.1.4,"A monthly report is produced for the organisation's management, setting out the financial position to date.","A monthly report is produced for the organisation's management, setting out the financial position to date.",TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE3-Financial Management Support-There is a mechanism for establishing the reason for budget variation in either income or expenditure.,,Hospital-Standards-SE3-Financial Management Support-3.1.1.5,5 Hospital-Standards-SE3-Financial Management Support-3.1.1.5,There is a mechanism for establishing the reason for budget variation in either income or expenditure.,There is a mechanism for establishing the reason for budget variation in either income or expenditure.,TRACKER,TEXT,COUNT,,,,,,optionSet
Hospital-Standards-SE3-Financial Management Support-Annual financial statements are produced at the end of the financial year.,,Hospital-Standards-SE3-Financial Management Support-3.1.1.6,6 Hospital-Standards-SE3-Financial Management Support-3.1.1.6,Annual financial statements are produced at the end of the financial year.,Annual financial statements are produced at the end of the financial year.,TRACKER,TEXT,COUNT,,,,,,optionSet
